"feed__data__message","feed__data__updated_time","feed__data__id","feed__paging__previous","feed__paging__next","id"
"Emerald Spreadwing\n(Lestes elatus)\n@Mayiladuthurai, Tamil Nadu, India,\nJanuary '20.","2020-03-08T09:07:54+0000","216593478390203_2826344457415079","https://graph.facebook.com/v6.0/216593478390203/feed?limit=600&since=1583658474&access_token=EAAJaZBipIeNYBAOtb523Sozks0z4GmZCUvggJfg5zcD9ZBzLQFP72EWSMl4k3RTLLihNC3cIHl5NpmRO9ebxTjMJIZAxeomzKaZCHnrK8Wt1ZAG6xCioSDwXZCM8q5ZBWBorTNdq04WBSm8V9HwYZBmZCvaNykOKJvLkV2U2YVbVgnCLzcV5l5opMA7qwnR7tGvs0rEFrWGFadeQMkTUZBDq3ib9WkUF12ZAi1jPNYH5mtKzVGqYjVo1TNvCHRTN4WiwxxIZD&__paging_token=enc_AdD5ay3WeTS9N2c0wU7Y5T4l1ShSGLWGxHzlvWn3zKYbcZBz0zP9yjyxqRoI9Juwiq2HXNXZAojn80rZBRXuaqeKhkQ52g7ZBBm2Qq4k6bdtG1ZCZAfwZDZD&__previous=1","https://graph.facebook.com/v6.0/216593478390203/feed?limit=600&access_token=EAAJaZBipIeNYBAOtb523Sozks0z4GmZCUvggJfg5zcD9ZBzLQFP72EWSMl4k3RTLLihNC3cIHl5NpmRO9ebxTjMJIZAxeomzKaZCHnrK8Wt1ZAG6xCioSDwXZCM8q5ZBWBorTNdq04WBSm8V9HwYZBmZCvaNykOKJvLkV2U2YVbVgnCLzcV5l5opMA7qwnR7tGvs0rEFrWGFadeQMkTUZBDq3ib9WkUF12ZAi1jPNYH5mtKzVGqYjVo1TNvCHRTN4WiwxxIZD&until=1561836744&__paging_token=enc_AdAiWbZAIvXJWMVB8bzsTBZAvgC02g2yUhnyZBiUPJdBFKP6dAQS3Ock93XxY24xGDguTf0Lc4utZCUYn2697QZC6E3iJ9xm91aRZAaOglGdx6c77DxQZDZD","216593478390203"
"Id please.Near Mudigere.Chikmagalur district.Feb.2020","2020-03-02T08:26:03+0000","216593478390203_2814611288588396","","",""
"*\n***Light-tipped Demon** (Male dragonfly)*\nIndothemis carnatica, Family:[L](https://en.wikipedia.org/wiki/Libellulidae)ibelliludae*\n\n29-Feb-2020\nNear Chennai - Tamil Nadu - INDIA.\nID: Arajush P","2020-02-29T05:49:29+0000","216593478390203_2810300375686154","","",""
"Clear winged Forest Glory - Vestalis gracilis\n\nBase of Western Ghats, Kudremukh Ranges, February 2020","2020-02-28T07:47:34+0000","216593478390203_2809201745796017","","",""
"Id please\n\nLocation - balurghat ... D/Dinajpur\n\nDate- 27/2/2020","2020-02-27T18:22:34+0000","216593478390203_2807086776007514","","",""
"Black-Tailed Dasher\n\nBrachydiplax farinosa, male\n\nDurgapur, West Barddhaman\n\nWest Bengal, India, 22/07/18","2020-02-27T12:53:29+0000","216593478390203_2799390546777137","","",""
"Ceriagrion sp. \n\nRaimatang, Alipurduar district, West Bengal\n\nNovember 2019","2020-02-27T12:52:50+0000","216593478390203_2799438600105665","","",""
"My little contribution in Indian Odonatology\n\nThe checklist of Odonata fauna of the Asansol – Durgapur Industrial region received six more species officially after this publication. It took a four-year-long period of time, I apologize for that. The addition of six more species of dragonflies & damselflies has been reported by me in a paper published in the current issue (published on 26 February 2020) of the Journal of Threatened Taxa (www.threatenedtaxa.org). It is my pleasure to share the work with you. Please follow this link (https://doi.org/10.11609/jott.5138.12.3.15391-15394) or go to the site for accessing it. In this regard, I would like to thank all members of the Dragonfly South Asia group, my filed supporters and well-wishers due to whom I have successfully done this job. And for the previous report hit this link\nhttps://doi.org/10.11609/jott.2572.8.2.8503-8517","2020-02-26T17:29:36+0000","216593478390203_2805713046144887","","",""
"Id please","2020-02-26T12:54:59+0000","216593478390203_2805292246186967","","",""
"[Green Marsh Hawk (Orthetrum sabina)](https://www.inaturalist.org/taxa/107974-Orthetrum-sabina), female\n\nRaimatang, Alipurduar district, West Bengal\n\nNovember 2019","2020-02-24T17:36:12+0000","216593478390203_2799433920106133","","",""
"Id please.\nPlace. Pune maharashtra\nDate. Nov 2020","2020-02-24T05:11:31+0000","216593478390203_2800575629991962","","",""
"ID Please, Shendurney Wildlife Sanctuary, Kerala, India, Dec 2019","2020-02-22T13:58:36+0000","216593478390203_2796074960442029","","",""
"Stream Glory (Neurobasis chinensis)\n\nTrail along a forest stream in Jayanti, Buxa Tiger Reserve \n\nNovember 2019","2020-02-22T13:22:55+0000","216593478390203_2795951220454403","","",""
